Name,Card Type,Type,Set,Image,Rarity
Omastar,Pokemon,Water,Arceus,https://assets.tcgdex.net/en/pl/pl4/23/high.png,Rare
Shellder,Pokemon,Water,BREAKpoint,https://assets.tcgdex.net/en/xy/xy9/23/high.png,Common
Golem 4,Pokemon,Fighting,Rising Rivals,https://assets.tcgdex.net/en/pl/pl2/23/high.png,Rare
Simisear,Pokemon,Fire,XY,https://assets.tcgdex.net/en/xy/xy1/23/high.png,Rare
Granbull,Pokemon,Fairy,Kalos Starter Set,https://assets.tcgdex.net/en/xy/xy0/23/high.png,None
Magcargo,Pokemon,Fire,Primal Clash,https://assets.tcgdex.net/en/xy/xy5/23/high.png,Uncommon
Appletun,Pokemon,Grass,Rebel Clash,https://assets.tcgdex.net/en/swsh/swsh2/23/high.png,Holo Rare
Gyarados,Pokemon,Water,Generations,https://assets.tcgdex.net/en/xy/g1/23/high.png,Rare
Manectric EX,Pokemon,Lightning,Phantom Forces,https://assets.tcgdex.net/en/xy/xy4/23/high.png,Ultra Rare
Cyndaquil,Pokemon,Fire,Astral Radiance,https://assets.tcgdex.net/en/swsh/swsh10/023/high.png,Common
Poliwag,Pokemon,Water,Evolutions,https://assets.tcgdex.net/en/xy/xy12/23/high.png,Common
Clauncher,Pokemon,Water,Furious Fists,https://assets.tcgdex.net/en/xy/xy3/23/high.png,Common
Ninetales,Pokemon,Fire,Sword & Shield,https://assets.tcgdex.net/en/swsh/swsh1/23/high.png,Rare
Dugtrio,Pokemon,Fighting,Base Set 2,https://assets.tcgdex.net/en/base/base4/23/high.png,Rare
Zapdos,Pokemon,Lightning,Wizards Black Star Promos,https://assets.tcgdex.net/en/base/basep/23/high.png,Common
Charmander,Pokemon,Fire,Vivid Voltage,https://assets.tcgdex.net/en/swsh/swsh4/23/high.png,Common
Hypno,Pokemon,Psychic,Fossil,https://assets.tcgdex.net/en/base/base3/23/high.png,Rare
Dark Dugtrio,Pokemon,Fighting,Team Rocket,https://assets.tcgdex.net/en/base/base5/23/high.png,Rare
Nidoqueen,Pokemon,Grass,Jungle,https://assets.tcgdex.net/en/base/base2/23/high.png,Rare
Larvesta,Pokemon,Fire,Chilling Reign,https://assets.tcgdex.net/en/swsh/swsh6/23/high.png,Common
Professor's Research (Professor Oak),Trainer,,Celebrations,https://assets.tcgdex.net/en/swsh/cel25/23/high.png,Holo Rare
Lapras,Pokemon,Water,Pokémon GO,https://assets.tcgdex.net/en/swsh/swsh10.5/023/high.png,Holo Rare
Tepig,Pokemon,Fire,Battle Styles,https://assets.tcgdex.net/en/swsh/swsh5/23/high.png,Common
Heatmor,Pokemon,Fire,Plasma Storm,https://assets.tcgdex.net/en/bw/bw8/23/high.png,Uncommon
Rillaboom VMAX,Pokemon,Grass,Fusion Strike,https://assets.tcgdex.net/en/swsh/swsh8/23/high.png,Holo Rare VMAX
Glaceon,Pokemon,Water,Plasma Freeze,https://assets.tcgdex.net/en/bw/bw9/23/high.png,Rare
Pyroar,Pokemon,Fire,Evolving Skies,https://assets.tcgdex.net/en/swsh/swsh7/23/high.png,Uncommon
Magikarp,Pokemon,Water,Dragons Exalted,https://assets.tcgdex.net/en/bw/bw6/23/high.png,Common
Alcremie VMAX,Pokemon,Psychic,Champion's Path,https://assets.tcgdex.net/en/swsh/swsh3.5/23/high.png,Holo Rare VMAX
Slowpoke,Pokemon,Water,Dark Explorers,https://assets.tcgdex.net/en/bw/bw5/23/high.png,Common
Victini,Pokemon,Fire,Legendary Treasures,https://assets.tcgdex.net/en/bw/bw11/23/high.png,Rare
Floatzel,Pokemon,Water,Shining Fates,https://assets.tcgdex.net/en/swsh/swsh4.5/23/high.png,Uncommon
Simipour,Pokemon,Water,Emerging Powers,https://assets.tcgdex.net/en/bw/bw2/23/high.png,Rare
Froslass,Pokemon,Water,Plasma Blast,https://assets.tcgdex.net/en/bw/bw10/23/high.png,Rare
Victini,Pokemon,Fire,Silver Tempest,https://assets.tcgdex.net/en/swsh/swsh12/023/high.png,Rare
Palpitoad,Pokemon,Water,Noble Victories,https://assets.tcgdex.net/en/bw/bw3/23/high.png,Uncommon
Brock's Sandslash,Pokemon,Fighting,Gym Heroes,https://assets.tcgdex.net/en/gym/gym1/23/high.png,Rare Holo
Torkoal,Pokemon,Fire,Lost Origin,https://assets.tcgdex.net/en/swsh/swsh11/023/high.png,Uncommon
Giovanni's Nidoqueen,Pokemon,Grass,Gym Challenge,https://assets.tcgdex.net/en/gym/gym2/23/high.png,Rare
Dialga,Pokemon,Metal,Platinum,https://assets.tcgdex.net/en/pl/pl1/23/high.png,Rare
Exeggutor,Pokemon,Grass,Legendary Collection,https://assets.tcgdex.net/en/lc/lc/23/high.png,Rare
Staryu,Pokemon,Water,Next Destinies,https://assets.tcgdex.net/en/bw/bw4/23/high.png,Common
Ampharos,Pokemon,Lightning,Call of Legends,https://assets.tcgdex.net/en/col/col1/23/high.png,Rare
Delcatty,Pokemon,Colorless,Legends Awakened,https://assets.tcgdex.net/en/dp/dp6/23/high.png,Rare
Drapion,Pokemon,Psychic,Diamond & Pearl,https://assets.tcgdex.net/en/dp/dp1/23/high.png,Rare
Latios,Pokemon,Colorless,Great Encounters,https://assets.tcgdex.net/en/dp/dp4/23/high.png,Rare
Torkoal,Pokemon,Fire,Brilliant Stars,https://assets.tcgdex.net/en/swsh/swsh9/023/high.png,Uncommon
Crobat,Pokemon,Psychic,Mysterious Treasures,https://assets.tcgdex.net/en/dp/dp2/23/high.png,Rare
Banette,Pokemon,Psychic,Secret Wonders,https://assets.tcgdex.net/en/dp/dp3/23/high.png,Rare
Combusken,Pokemon,Fire,Darkness Ablaze,https://assets.tcgdex.net/en/swsh/swsh3/23/high.png,Uncommon
Roserade,Pokemon,Psychic,Stormfront,https://assets.tcgdex.net/en/dp/dp7/23/high.png,Rare
Jolteon,Pokemon,Lightning,Majestic Dawn,https://assets.tcgdex.net/en/dp/dp5/23/high.png,Rare
Simisear VSTAR,Pokemon,Fire,Crown Zenith,https://assets.tcgdex.net/en/swsh/swsh12.5/023/high.png,Holo Rare VSTAR
Darumaka,Pokemon,Fire,Black & White,https://assets.tcgdex.net/en/bw/bw1/23/high.png,Common
Victini,Pokemon,Fire,Boundaries Crossed,https://assets.tcgdex.net/en/bw/bw7/23/high.png,Rare
Nidoking,Pokemon,Fighting,Aquapolis,https://assets.tcgdex.net/en/ecard/ecard2/24/high.png,Rare
Piloswine,Pokemon,Water,Skyridge,https://assets.tcgdex.net/en/ecard/ecard3/24/high.png,Rare
Poliwrath,Pokemon,Water,Expedition Base Set,https://assets.tcgdex.net/en/ecard/ecard1/24/high.png,Rare
Team Aqua's Cacnea,Pokemon,"Grass,darkness",Team Magma vs Team Aqua,https://assets.tcgdex.net/en/ex/ex4/24/high.png,Uncommon
Hitmonchan,Pokemon,Fighting,Unseen Forces,https://assets.tcgdex.net/en/ex/ex10/24/high.png,Rare
Marshtomp,Pokemon,Water,Crystal Guardians,https://assets.tcgdex.net/en/ex/ex14/24/high.png,Rare
Fearow,Pokemon,Colorless,FireRed & LeafGreen,https://assets.tcgdex.net/en/ex/ex6/24/high.png,Rare
Magby,Pokemon,Fire,Team Rocket Returns,https://assets.tcgdex.net/en/ex/ex7/24/high.png,Rare
Pinsir,Pokemon,Grass,Legend Maker,https://assets.tcgdex.net/en/ex/ex12/24/high.png,Rare
Umbreon,Pokemon,Darkness,Sandstorm,https://assets.tcgdex.net/en/ex/ex2/24/high.png,Rare
Claydol,Pokemon,Fighting,Emerald,https://assets.tcgdex.net/en/ex/ex9/24/high.png,Uncommon
Seaking,Pokemon,Water,Deoxys,https://assets.tcgdex.net/en/ex/ex8/24/high.png,Rare
Relicanth,Pokemon,Water,Hidden Legends,https://assets.tcgdex.net/en/ex/ex5/24/high.png,Rare
Wobbuffet,Pokemon,Psychic,Power Keepers,https://assets.tcgdex.net/en/ex/ex16/24/high.png,Rare
Weezing,Pokemon,Grass,Ruby & Sapphire,https://assets.tcgdex.net/en/ex/ex1/24/high.png,Rare
Mightyena δ,Pokemon,"Darkness,metal",Delta Species,https://assets.tcgdex.net/en/ex/ex11/24/high.png,Rare
Mewtwo δ,Pokemon,Lightning,Holon Phantoms,https://assets.tcgdex.net/en/ex/ex13/24/high.png,Rare
Vibrava δ,Pokemon,Psychic,Dragon Frontiers,https://assets.tcgdex.net/en/ex/ex15/24/high.png,Rare
Camerupt,Pokemon,Fire,Dragon,https://assets.tcgdex.net/en/ex/ex3/24/high.png,Uncommon
Toedscool,Pokemon,Grass,Scarlet & Violet,https://assets.tcgdex.net/en/sv/sv01/024/high.png,Common
Arbok ex,Pokemon,Darkness,151,https://assets.tcgdex.net/en/sv/sv03.5/024/high.png,Double rare
Toxicroak,Pokemon,Fighting,Shrouded Fable,https://assets.tcgdex.net/en/sv/sv06.5/024/high.png,Common
Rabsca,Pokemon,Grass,Temporal Forces,https://assets.tcgdex.net/en/sv/sv05/024/high.png,Uncommon
Capsakid,Pokemon,Grass,Obsidian Flames,https://assets.tcgdex.net/en/sv/sv03/024/high.png,Common
Sneasel,Pokemon,Darkness,Neo Revelation,https://assets.tcgdex.net/en/neo/neo3/24/high.png,Rare
Exeggutor,Pokemon,Psychic,Paldean Fates,https://assets.tcgdex.net/en/sv/sv04.5/024/high.png,Rare
Houndour,Pokemon,Fire,Neo Discovery,https://assets.tcgdex.net/en/neo/neo2/24/high.png,Rare
Murkrow,Pokemon,Darkness,Neo Genesis,https://assets.tcgdex.net/en/neo/neo1/24/high.png,Rare
Light Ledian,Pokemon,Grass,Neo Destiny,https://assets.tcgdex.net/en/neo/neo4/24/high.png,Rare
Brambleghast,Pokemon,Grass,Paldea Evolved,https://assets.tcgdex.net/en/sv/sv02/024/high.png,Uncommon
Greninja GX,Pokemon,Water,Forbidden Light,https://assets.tcgdex.net/en/sm/sm6/24/high.png,Ultra Rare
Crocalor,Pokemon,Fire,Paradox Rift,https://assets.tcgdex.net/en/sv/sv04/024/high.png,Uncommon
Magcargo,Pokemon,Fire,Celestial Storm,https://assets.tcgdex.net/en/sm/sm7/24/high.png,Rare
Zapdos,Pokemon,Lightning,Hidden Fates,https://assets.tcgdex.net/en/sm/sm115/24/high.png,Rare
Teal Mask Ogerpon,Pokemon,Grass,Twilight Masquerade,https://assets.tcgdex.net/en/sv/sv06/024/high.png,Rare
Heatmor,Pokemon,Fire,Burning Shadows,https://assets.tcgdex.net/en/sm/sm3/24/high.png,Uncommon
Wurmple,Pokemon,Grass,Lost Thunder,https://assets.tcgdex.net/en/sm/sm8/24/high.png,Common
Lapras,Pokemon,Water,HeartGold SoulSilver,https://assets.tcgdex.net/en/hgss/hgss1/24/high.png,Rare
Corphish,Pokemon,Water,Crimson Invasion,https://assets.tcgdex.net/en/sm/sm4/24/high.png,Common
Vileplume,Pokemon,Grass,Undaunted,https://assets.tcgdex.net/en/hgss/hgss3/24/high.png,Rare
Steelix,Pokemon,Metal,Unleashed,https://assets.tcgdex.net/en/hgss/hgss2/24/high.png,Rare
Darmanitan,Pokemon,Fire,Unbroken Bonds,https://assets.tcgdex.net/en/sm/sm10/24/high.png,Rare
Kricketune,Pokemon,Grass,Triumphant,https://assets.tcgdex.net/en/hgss/hgss4/24/high.png,Rare
Tentacruel,Pokemon,Water,Guardians Rising,https://assets.tcgdex.net/en/sm/sm2/24/high.png,Uncommon
Camerupt,Pokemon,Fire,Unified Minds,https://assets.tcgdex.net/en/sm/sm11/24/high.png,Rare
Rapidash,Pokemon,Fire,Cosmic Eclipse,https://assets.tcgdex.net/en/sm/sm12/24/high.png,Uncommon
Litten,Pokemon,Fire,Sun & Moon,https://assets.tcgdex.net/en/sm/sm1/24/high.png,Common
Charmeleon,Pokemon,Fire,Base Set,https://assets.tcgdex.net/en/base/base1/24/high.png,Uncommon
Wartortle,Pokemon,Water,Team Up,https://assets.tcgdex.net/en/sm/sm9/24/high.png,Uncommon
Chimecho,Pokemon,Psychic,Nintendo Black Star Promos,https://assets.tcgdex.net/en/pop/np/24/high.png,Common
Heat Rotom,Pokemon,Fire,Ultra Prism,https://assets.tcgdex.net/en/sm/sm5/24/high.png,Rare
Electrike,Pokemon,Lightning,Roaring Skies,https://assets.tcgdex.net/en/xy/xy6/24/high.png,Common
Regice,Pokemon,Water,Ancient Origins,https://assets.tcgdex.net/en/xy/xy7/24/high.png,Rare
Rotom,Pokemon,Lightning,Fates Collide,https://assets.tcgdex.net/en/xy/xy10/24/high.png,Rare
Simisear,Pokemon,Fire,BREAKthrough,https://assets.tcgdex.net/en/xy/xy8/24/high.png,Rare
Pyroar BREAK,Pokemon,Fire,Steam Siege,https://assets.tcgdex.net/en/xy/xy11/24/high.png,Ultra Rare
Magma Pointer,Trainer,,Double Crisis,https://assets.tcgdex.net/en/xy/dc1/24/high.png,Uncommon
Dewgong,Pokemon,Water,Supreme Victors,https://assets.tcgdex.net/en/pl/pl3/24/high.png,Rare
Spheal,Pokemon,Water,Flashfire,https://assets.tcgdex.net/en/xy/xy2/24/high.png,Common
Pelipper,Pokemon,Water,Arceus,https://assets.tcgdex.net/en/pl/pl4/24/high.png,Rare
Cloyster,Pokemon,Water,BREAKpoint,https://assets.tcgdex.net/en/xy/xy9/24/high.png,Uncommon
Heracross 4,Pokemon,Grass,Rising Rivals,https://assets.tcgdex.net/en/pl/pl2/24/high.png,Rare
Fennekin,Pokemon,Fire,XY,https://assets.tcgdex.net/en/xy/xy1/24/high.png,Common
Swirlix,Pokemon,Fairy,Kalos Starter Set,https://assets.tcgdex.net/en/xy/xy0/24/high.png,None
Magcargo,Pokemon,Fire,Primal Clash,https://assets.tcgdex.net/en/xy/xy5/24/high.png,Rare
Vulpix,Pokemon,Fire,Rebel Clash,https://assets.tcgdex.net/en/swsh/swsh2/24/high.png,Common
Vaporeon EX,Pokemon,Water,Generations,https://assets.tcgdex.net/en/xy/g1/24/high.png,Ultra Rare
M Manectric EX,Pokemon,Lightning,Phantom Forces,https://assets.tcgdex.net/en/xy/xy4/24/high.png,Ultra Rare
Quilava,Pokemon,Fire,Astral Radiance,https://assets.tcgdex.net/en/swsh/swsh10/024/high.png,Uncommon
Poliwhirl,Pokemon,Water,Evolutions,https://assets.tcgdex.net/en/xy/xy12/24/high.png,Uncommon
Clawitzer,Pokemon,Water,Furious Fists,https://assets.tcgdex.net/en/xy/xy3/24/high.png,Rare
Torkoal V,Pokemon,Fire,Sword & Shield,https://assets.tcgdex.net/en/swsh/swsh1/24/high.png,Holo Rare V
Electabuzz,Pokemon,Lightning,Base Set 2,https://assets.tcgdex.net/en/base/base4/24/high.png,Rare
___________'s Pikachu,Pokemon,Lightning,Wizards Black Star Promos,https://assets.tcgdex.net/en/base/basep/24/high.png,Common
Charmeleon,Pokemon,Fire,Vivid Voltage,https://assets.tcgdex.net/en/swsh/swsh4/24/high.png,Uncommon
Kabutops,Pokemon,Fighting,Fossil,https://assets.tcgdex.net/en/base/base3/24/high.png,Rare
Dark Golbat,Pokemon,Grass,Team Rocket,https://assets.tcgdex.net/en/base/base5/24/high.png,Rare
Pidgeot,Pokemon,Colorless,Jungle,https://assets.tcgdex.net/en/base/base2/24/high.png,Rare
Volcarona,Pokemon,Fire,Chilling Reign,https://assets.tcgdex.net/en/swsh/swsh6/24/high.png,Rare
Professor's Research (Professor Oak),Trainer,,Celebrations,https://assets.tcgdex.net/en/swsh/cel25/24/high.png,Ultra Rare
Articuno,Pokemon,Water,Pokémon GO,https://assets.tcgdex.net/en/swsh/swsh10.5/024/high.png,Holo Rare
Pignite,Pokemon,Fire,Battle Styles,https://assets.tcgdex.net/en/swsh/swsh5/24/high.png,Uncommon
Squirtle,Pokemon,Water,Plasma Storm,https://assets.tcgdex.net/en/bw/bw8/24/high.png,Common
Gossifleur,Pokemon,Grass,Fusion Strike,https://assets.tcgdex.net/en/swsh/swsh8/24/high.png,Common
Tympole,Pokemon,Water,Plasma Freeze,https://assets.tcgdex.net/en/bw/bw9/24/high.png,Common
Psyduck,Pokemon,Water,Evolving Skies,https://assets.tcgdex.net/en/swsh/swsh7/24/high.png,Common
Gyarados,Pokemon,Water,Dragons Exalted,https://assets.tcgdex.net/en/bw/bw6/24/high.png,Rare
Machop,Pokemon,Fighting,Champion's Path,https://assets.tcgdex.net/en/swsh/swsh3.5/24/high.png,Common
Slowbro,Pokemon,Water,Dark Explorers,https://assets.tcgdex.net/en/bw/bw5/24/high.png,Uncommon
Victini-EX,Pokemon,Fire,Legendary Treasures,https://assets.tcgdex.net/en/bw/bw11/24/high.png,Rare
Manaphy,Pokemon,Water,Shining Fates,https://assets.tcgdex.net/en/swsh/swsh4.5/24/high.png,Rare
Basculin,Pokemon,Water,Emerging Powers,https://assets.tcgdex.net/en/bw/bw2/24/high.png,Common
Relicanth,Pokemon,Water,Plasma Blast,https://assets.tcgdex.net/en/bw/bw10/24/high.png,Uncommon
Reshiram V,Pokemon,Fire,Silver Tempest,https://assets.tcgdex.net/en/swsh/swsh12/024/high.png,Holo Rare V
Seismitoad,Pokemon,Water,Noble Victories,https://assets.tcgdex.net/en/bw/bw3/24/high.png,Rare
Brock's Zubat,Pokemon,Grass,Gym Heroes,https://assets.tcgdex.net/en/gym/gym1/24/high.png,Rare Holo
Litwick,Pokemon,Fire,Lost Origin,https://assets.tcgdex.net/en/swsh/swsh11/024/high.png,Common
Giovanni's Pinsir,Pokemon,Grass,Gym Challenge,https://assets.tcgdex.net/en/gym/gym2/24/high.png,Rare
Dugtrio,Pokemon,Fighting,Platinum,https://assets.tcgdex.net/en/pl/pl1/24/high.png,Rare
Golem,Pokemon,Fighting,Legendary Collection,https://assets.tcgdex.net/en/lc/lc/24/high.png,Rare
Starmie,Pokemon,Water,Next Destinies,https://assets.tcgdex.net/en/bw/bw4/24/high.png,Uncommon
Cleffa,Pokemon,Colorless,Call of Legends,https://assets.tcgdex.net/en/col/col1/24/high.png,Rare
Deoxys Attack Forme,Pokemon,Psychic,Legends Awakened,https://assets.tcgdex.net/en/dp/dp6/24/high.png,Rare
Drifblim,Pokemon,Psychic,Diamond & Pearl,https://assets.tcgdex.net/en/dp/dp1/24/high.png,Rare
Mawile,Pokemon,Metal,Great Encounters,https://assets.tcgdex.net/en/dp/dp4/24/high.png,Rare
Chimchar,Pokemon,Fire,Brilliant Stars,https://assets.tcgdex.net/en/swsh/swsh9/024/high.png,Common
Exeggutor,Pokemon,Grass,Mysterious Treasures,https://assets.tcgdex.net/en/dp/dp2/24/high.png,Rare
Dugtrio,Pokemon,Fighting,Secret Wonders,https://assets.tcgdex.net/en/dp/dp3/24/high.png,Rare
Blaziken,Pokemon,Fire,Darkness Ablaze,https://assets.tcgdex.net/en/swsh/swsh3/24/high.png,Holo Rare
Salamence,Pokemon,Colorless,Stormfront,https://assets.tcgdex.net/en/dp/dp7/24/high.png,Rare
Leafeon,Pokemon,Grass,Majestic Dawn,https://assets.tcgdex.net/en/dp/dp5/24/high.png,Rare
Larvesta,Pokemon,Fire,Crown Zenith,https://assets.tcgdex.net/en/swsh/swsh12.5/024/high.png,Common
Darumaka,Pokemon,Fire,Black & White,https://assets.tcgdex.net/en/bw/bw1/24/high.png,Uncommon
Tepig,Pokemon,Fire,Boundaries Crossed,https://assets.tcgdex.net/en/bw/bw7/24/high.png,Common
Arven,Trainer,,Scarlet & Violet,https://assets.tcgdex.net/en/sv/sv01/235/high.png,Ultra Rare
Arven,Trainer,,Paldean Fates,https://assets.tcgdex.net/en/sv/sv04.5/235/high.png,Special illustration rare
Quaquaval ex,Pokemon,Water,Paldea Evolved,https://assets.tcgdex.net/en/sv/sv02/235/high.png,Ultra Rare
Larry,Trainer,,Paradox Rift,https://assets.tcgdex.net/en/sv/sv04/235/high.png,Ultra Rare
Spell Tag,Trainer,,Lost Thunder,https://assets.tcgdex.net/en/sm/sm8/235/high.png,Secret Rare
Misty’s Favor,Trainer,,Unified Minds,https://assets.tcgdex.net/en/sm/sm11/235/high.png,Ultra Rare
Roller Skater,Trainer,,Cosmic Eclipse,https://assets.tcgdex.net/en/sm/sm12/235/high.png,Ultra Rare
Judge,Trainer,,Fusion Strike,https://assets.tcgdex.net/en/swsh/swsh8/235/high.png,Uncommon
Lightning Energy,Energy,,Evolving Skies,https://assets.tcgdex.net/en/swsh/swsh7/235/high.png,Secret Rare
Jacq,Trainer,,Scarlet & Violet,https://assets.tcgdex.net/en/sv/sv01/236/high.png,Ultra Rare
Clive,Trainer,,Paldean Fates,https://assets.tcgdex.net/en/sv/sv04.5/236/high.png,Special illustration rare
Chien-Pao ex,Pokemon,Water,Paldea Evolved,https://assets.tcgdex.net/en/sv/sv02/236/high.png,Ultra Rare
Mela,Trainer,,Paradox Rift,https://assets.tcgdex.net/en/sv/sv04/236/high.png,Ultra Rare
Wait and See Hammer,Trainer,,Lost Thunder,https://assets.tcgdex.net/en/sm/sm8/236/high.png,Secret Rare
Poké Maniac,Trainer,,Unified Minds,https://assets.tcgdex.net/en/sm/sm11/236/high.png,Ultra Rare
Rosa,Trainer,,Cosmic Eclipse,https://assets.tcgdex.net/en/sm/sm12/236/high.png,Ultra Rare
Power Tablet,Trainer,,Fusion Strike,https://assets.tcgdex.net/en/swsh/swsh8/236/high.png,Uncommon
Darkness Energy,Energy,,Evolving Skies,https://assets.tcgdex.net/en/swsh/swsh7/236/high.png,Secret Rare
Katy,Trainer,,Scarlet & Violet,https://assets.tcgdex.net/en/sv/sv01/237/high.png,Ultra Rare
Iono,Trainer,,Paldean Fates,https://assets.tcgdex.net/en/sv/sv04.5/237/high.png,Special illustration rare
Bellibolt ex,Pokemon,Lightning,Paldea Evolved,https://assets.tcgdex.net/en/sv/sv02/237/high.png,Ultra Rare
Norman,Trainer,,Paradox Rift,https://assets.tcgdex.net/en/sv/sv04/237/high.png,Ultra Rare
Rowlet & Alolan Exeggutor GX,Pokemon,Grass,Unified Minds,https://assets.tcgdex.net/en/sm/sm11/237/high.png,Secret Rare
Torkoal,Pokemon,Fire,Cosmic Eclipse,https://assets.tcgdex.net/en/sm/sm12/237/high.png,Secret Rare
Quick Ball,Trainer,,Fusion Strike,https://assets.tcgdex.net/en/swsh/swsh8/237/high.png,Uncommon
Metal Energy,Energy,,Evolving Skies,https://assets.tcgdex.net/en/swsh/swsh7/237/high.png,Secret Rare
Miriam,Trainer,,Scarlet & Violet,https://assets.tcgdex.net/en/sv/sv01/238/high.png,Ultra Rare
Nemona,Trainer,,Paldean Fates,https://assets.tcgdex.net/en/sv/sv04.5/238/high.png,Special illustration rare
Slowking ex,Pokemon,Psychic,Paldea Evolved,https://assets.tcgdex.net/en/sv/sv02/238/high.png,Ultra Rare
Parasol Lady,Trainer,,Paradox Rift,https://assets.tcgdex.net/en/sv/sv04/238/high.png,Ultra Rare
Heatran GX,Pokemon,Fire,Unified Minds,https://assets.tcgdex.net/en/sm/sm11/238/high.png,Secret Rare
Weavile,Pokemon,Water,Cosmic Eclipse,https://assets.tcgdex.net/en/sm/sm12/238/high.png,Secret Rare
Schoolboy,Trainer,,Fusion Strike,https://assets.tcgdex.net/en/swsh/swsh8/238/high.png,Uncommon
Penny,Trainer,,Scarlet & Violet,https://assets.tcgdex.net/en/sv/sv01/239/high.png,Ultra Rare
Penny,Trainer,,Paldean Fates,https://assets.tcgdex.net/en/sv/sv04.5/239/high.png,Special illustration rare
Dedenne ex,Pokemon,Psychic,Paldea Evolved,https://assets.tcgdex.net/en/sv/sv02/239/high.png,Ultra Rare
Professor Sada's Vitality,Trainer,,Paradox Rift,https://assets.tcgdex.net/en/sv/sv04/239/high.png,Ultra Rare
Slowpoke & Psyduck GX,Pokemon,Water,Unified Minds,https://assets.tcgdex.net/en/sm/sm11/239/high.png,Secret Rare
Piplup,Pokemon,Water,Cosmic Eclipse,https://assets.tcgdex.net/en/sm/sm12/239/high.png,Secret Rare
Schoolgirl,Trainer,,Fusion Strike,https://assets.tcgdex.net/en/swsh/swsh8/239/high.png,Uncommon
Professor's Research,Trainer,,Scarlet & Violet,https://assets.tcgdex.net/en/sv/sv01/240/high.png,Ultra Rare
Wo-Chien ex,Pokemon,Grass,Paldean Fates,https://assets.tcgdex.net/en/sv/sv04.5/240/high.png,Hyper rare
Tinkaton ex,Pokemon,Psychic,Paldea Evolved,https://assets.tcgdex.net/en/sv/sv02/240/high.png,Ultra Rare
Professor Turo's Scenario,Trainer,,Paradox Rift,https://assets.tcgdex.net/en/sv/sv04/240/high.png,Ultra Rare
Keldeo GX,Pokemon,Water,Unified Minds,https://assets.tcgdex.net/en/sm/sm11/240/high.png,Secret Rare
Wishiwashi,Pokemon,Water,Cosmic Eclipse,https://assets.tcgdex.net/en/sm/sm12/240/high.png,Secret Rare
Shauna,Trainer,,Fusion Strike,https://assets.tcgdex.net/en/swsh/swsh8/240/high.png,Uncommon
Professor's Research,Trainer,,Scarlet & Violet,https://assets.tcgdex.net/en/sv/sv01/241/high.png,Ultra Rare
Chi-Yu ex,Pokemon,Fire,Paldean Fates,https://assets.tcgdex.net/en/sv/sv04.5/241/high.png,Hyper rare
Lycanroc ex,Pokemon,Fighting,Paldea Evolved,https://assets.tcgdex.net/en/sv/sv02/241/high.png,Ultra Rare
Rika,Trainer,,Paradox Rift,https://assets.tcgdex.net/en/sv/sv04/241/high.png,Ultra Rare
Raichu & Alolan Raichu GX,Pokemon,Lightning,Unified Minds,https://assets.tcgdex.net/en/sm/sm11/241/high.png,Secret Rare
Pikachu,Pokemon,Lightning,Cosmic Eclipse,https://assets.tcgdex.net/en/sm/sm12/241/high.png,Secret Rare
Sidney,Trainer,,Fusion Strike,https://assets.tcgdex.net/en/swsh/swsh8/241/high.png,Uncommon
Team Star Grunt,Trainer,,Scarlet & Violet,https://assets.tcgdex.net/en/sv/sv01/242/high.png,Ultra Rare
Chien-Pao ex,Pokemon,Water,Paldean Fates,https://assets.tcgdex.net/en/sv/sv04.5/242/high.png,Hyper rare
Annihilape ex,Pokemon,Fighting,Paldea Evolved,https://assets.tcgdex.net/en/sv/sv02/242/high.png,Ultra Rare
Roark,Trainer,,Paradox Rift,https://assets.tcgdex.net/en/sv/sv04/242/high.png,Ultra Rare
Mewtwo & Mew GX,Pokemon,Psychic,Unified Minds,https://assets.tcgdex.net/en/sm/sm11/242/high.png,Secret Rare
Magnemite,Pokemon,Lightning,Cosmic Eclipse,https://assets.tcgdex.net/en/sm/sm12/242/high.png,Secret Rare
Skaters' Park,Trainer,,Fusion Strike,https://assets.tcgdex.net/en/swsh/swsh8/242/high.png,Uncommon
Spidops ex,Pokemon,Grass,Scarlet & Violet,https://assets.tcgdex.net/en/sv/sv01/243/high.png,Special illustration rare
Miraidon ex,Pokemon,Lightning,Paldean Fates,https://assets.tcgdex.net/en/sv/sv04.5/243/high.png,Hyper rare
Ting-Lu ex,Pokemon,Fighting,Paldea Evolved,https://assets.tcgdex.net/en/sv/sv02/243/high.png,Ultra Rare
Shauntal,Trainer,,Paradox Rift,https://assets.tcgdex.net/en/sv/sv04/243/high.png,Ultra Rare
Latios GX,Pokemon,Psychic,Unified Minds,https://assets.tcgdex.net/en/sm/sm11/243/high.png,Secret Rare
Koffing,Pokemon,Psychic,Cosmic Eclipse,https://assets.tcgdex.net/en/sm/sm12/243/high.png,Secret Rare
Spongy Gloves,Trainer,,Fusion Strike,https://assets.tcgdex.net/en/swsh/swsh8/243/high.png,Uncommon
Miraidon ex,Pokemon,Lightning,Scarlet & Violet,https://assets.tcgdex.net/en/sv/sv01/244/high.png,Special illustration rare
Ting-Lu ex,Pokemon,Fighting,Paldean Fates,https://assets.tcgdex.net/en/sv/sv04.5/244/high.png,Hyper rare
Paldean Clodsire ex,Pokemon,Darkness,Paldea Evolved,https://assets.tcgdex.net/en/sv/sv02/244/high.png,Ultra Rare
